eventID,fieldID,partnerID,continent,country,county,waterBody,localitySite,localityID,verbatimLocality,decimalLatitude,decimalLongitude,minimumElevationInMeters,recordedBy,year,month,day,eventTime,samplingProtocol,pumpType,numberReplicates,sampleVolumeInMillilitres,remarks,conductivity,pH,temperature
TAFIRI-2020.07.02-KILO07,KILO07,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Mlumbaji river ,-8.5055,35.943183,285,Asilatu Shechonge,2020,7,2,13:06:00,Sterivex-0.22,Syringe 50 mL,3,250,,NA,NA,NA
TAFIRI-2020.07.02-KILO08,KILO08,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Mkaja river,-8.434883,35.986033,294,Asilatu Shechonge,2020,7,2,13:40:00,Sterivex-0.22,Syringe 50 mL,3,250,,15.2,9.05,20.3
TAFIRI-2020.07.02-KILO09,KILO09,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Ikule river,-8.4114,36.01165,293,Asilatu Shechonge,2020,7,2,18:17:00,Sterivex-0.22,Syringe 50 mL,3,200,,NA,NA,NA
TAFIRI-2020.07.03-KILO10-A,KILO10-A,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Mngeta river upstream,-8.34005,36.08435,286,Asilatu Shechonge,2020,7,3,07:42:00,Sterivex-0.22,Syringe 50 mL,3,250,,17.8,8.5,18.5
TAFIRI-2020.07.03-KILO10-B,KILO10-B,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Mngeta river downstream,-8.338167,36.084667,284,Asilatu Shechonge,2020,7,3,07:55:00,Sterivex-0.22,Syringe 50 mL,3,250,,18.1,8.87,18.3
TAFIRI-2020.07.03-KILO11,KILO11,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Mchombe river,-8.3162,36.119967,284,Asilatu Shechonge,2020,7,3,10:10:00,Sterivex-0.22,Syringe 50 mL,3,250,,53.1,8.84,20.3
TAFIRI-2020.07.03-KILO12,KILO12,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Namwawala river upstream,-8.1546,36.389967,272,Asilatu Shechonge,2020,7,3,13:39:00,Sterivex-0.22,Syringe 50 mL,3,250,,93.2,8.42,24
TAFIRI-2020.07.03-KILO13,KILO13,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Idete river,-8.10365,36.4887,274,Asilatu Shechonge,2020,7,3,15:42:00,Sterivex-0.22,Syringe 50 mL,3,250,,75.8,8.01,21.6
TAFIRI-2020.07.03-KILO14-A,KILO14-A,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Magufuli bridge pont A,-8.189317,36.692517,243,Asilatu Shechonge,2020,7,3,18:58:00,Sterivex-0.22,Syringe 50 mL,3,150,,49.5,7.69,24.7
TAFIRI-2020.07.04-KILO14-B,KILO14-B,TAFIRI,Africa,Tanzania,Morogoro Region,Kilombero River,,,Magufuli bridge pont B,-8.18945,36.690433,245,Asilatu Shechonge,2020,7,4,11:01:00,Sterivex-0.22,Syringe 50 mL,3,200,,48.9,7.66,24.3
